2026-07-30 18:45:11,072 | INFO    | molsanity | === MolSanity run: full.yaml (seed=0) ===
2026-07-30 18:45:18,619 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold] cache hit (fba575de0397d1a2) — skipping
2026-07-30 18:45:18,619 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold] DONE — acc=0.95 gt_auroc=0.9011999999999999 n=20 (capped) [cached]
2026-07-30 18:45:19,010 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random] cache hit (e26d99535fc29e1f) — skipping
2026-07-30 18:45:19,011 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random] DONE — acc=1.00 gt_auroc=0.998 n=20 (capped) [cached]
2026-07-30 18:45:19,458 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold] cache hit (d052fcaa872b43af) — skipping
2026-07-30 18:45:19,458 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold] DONE — acc=0.95 gt_auroc=0.9752000000000001 n=20 (capped) [cached]
2026-07-30 18:45:19,888 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__random] cache hit (8f1b1ca978d02c61) — skipping
2026-07-30 18:45:19,889 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__random] DONE — acc=1.00 gt_auroc=0.9992000000000001 n=20 (capped) [cached]
2026-07-30 18:45:20,327 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__scaffold] cache hit (ebbe13f02b0c44ab) — skipping
2026-07-30 18:45:20,328 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__scaffold] DONE — acc=0.95 gt_auroc=0.9683999999999999 n=20 (capped) [cached]
2026-07-30 18:45:20,797 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__random] cache hit (14f9641c4a228337) — skipping
2026-07-30 18:45:20,797 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__random] DONE — acc=1.00 gt_auroc=0.9916 n=20 (capped) [cached]
2026-07-30 18:45:21,255 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GuidedBackprop__scaffold] cache hit (92fa24d1e316e843) — skipping
2026-07-30 18:45:21,255 | INFO    | molsanity | [cell SynthMotifs__GINE__GuidedBackprop__scaffold] DONE — acc=0.95 gt_auroc=0.9279999999999999 n=20 (capped) [cached]
2026-07-30 18:45:21,827 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GuidedBackprop__random] cache hit (e5133dc16faa5e3d) — skipping
2026-07-30 18:45:21,827 | INFO    | molsanity | [cell SynthMotifs__GINE__GuidedBackprop__random] DONE — acc=1.00 gt_auroc=1.0 n=20 (capped) [cached]
2026-07-30 18:45:22,280 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GNNExplainer__scaffold] cache hit (7ba996dd6a4b7e9f) — skipping
2026-07-30 18:45:22,280 | INFO    | molsanity | [cell SynthMotifs__GINE__GNNExplainer__scaffold] DONE — acc=0.95 gt_auroc=0.6680000000000001 n=20 (capped) [cached]
2026-07-30 18:45:22,748 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GNNExplainer__random] cache hit (6126ffcb1146f4d5) — skipping
2026-07-30 18:45:22,749 | INFO    | molsanity | [cell SynthMotifs__GINE__GNNExplainer__random] DONE — acc=1.00 gt_auroc=0.4744 n=20 (capped) [cached]
2026-07-30 18:45:22,752 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__PGExplainer__scaffold] running (9f7d4583b76a142b)
2026-07-30 18:45:23,321 | INFO    | molsanity | Generated SynthMotifs: 200 graphs (house/cycle), exact node GT
2026-07-30 18:45:23,328 | INFO    | molsanity | SynthMotifs checksum recorded: 30b91fad87ac
2026-07-30 18:45:23,328 | INFO    | molsanity | Loaded SynthMotifs: 200 graphs, checksum 30b91fad87ac
2026-07-30 18:45:24,041 | INFO    | molsanity | Scaffold split: 200 scaffolds -> train 160 / val 20 / test 20
2026-07-30 18:45:24,875 | INFO    | molsanity | Loaded existing checkpoint gine_5281be77a9e8e1fc.pt
2026-07-30 18:46:53,674 | INFO    | molsanity | PGExplainer trained on 160 graphs (30 epochs), final loss 0.7446
2026-07-30 18:47:48,108 | INFO    | molsanity | PGExplainer trained on 160 graphs (30 epochs), final loss 0.1504
2026-07-30 18:47:49,949 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/SynthMotifs__GINE__PGExplainer__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:47:49,981 | INFO    | molsanity | Skipping molecule SVG (no aligned mol for case_molecule.svg)
2026-07-30 18:47:50,036 | INFO    | molsanity | [cell SynthMotifs__GINE__PGExplainer__scaffold] DONE — acc=0.95 gt_auroc=0.5648000000000001 n=20 (capped)
2026-07-30 18:47:50,041 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__PGExplainer__random] running (55d160fe911fe15e)
2026-07-30 18:47:50,545 | INFO    | molsanity | Generated SynthMotifs: 200 graphs (house/cycle), exact node GT
2026-07-30 18:47:50,556 | INFO    | molsanity | Loaded SynthMotifs: 200 graphs, checksum 30b91fad87ac
2026-07-30 18:47:51,208 | INFO    | molsanity | Loaded existing checkpoint gine_81524887c7adee3c.pt
2026-07-30 18:49:23,094 | INFO    | molsanity | PGExplainer trained on 160 graphs (30 epochs), final loss 0.5714
2026-07-30 18:50:20,319 | INFO    | molsanity | PGExplainer trained on 160 graphs (30 epochs), final loss 0.3812
2026-07-30 18:50:21,269 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/SynthMotifs__GINE__PGExplainer__random/gt_validation.pdf (+ .svg)
2026-07-30 18:50:21,270 | INFO    | molsanity | Skipping molecule SVG (no aligned mol for case_molecule.svg)
2026-07-30 18:50:21,305 | INFO    | molsanity | [cell SynthMotifs__GINE__PGExplainer__random] DONE — acc=1.00 gt_auroc=0.49000000000000005 n=20 (capped)
2026-07-30 18:50:21,731 | INFO    | molsanity | [stage cell_SynthMotifs__GCN__IntegratedGradients__scaffold] cache hit (fa4e2731684c208c) — skipping
2026-07-30 18:50:21,731 | INFO    | molsanity | [cell SynthMotifs__GCN__IntegratedGradients__scaffold] DONE — acc=0.70 gt_auroc=0.9867999999999999 n=20 (capped) [cached]
2026-07-30 18:50:22,059 | INFO    | molsanity | [stage cell_SynthMotifs__GCN__IntegratedGradients__random] cache hit (a1e311ad44f00922) — skipping
2026-07-30 18:50:22,059 | INFO    | molsanity | [cell SynthMotifs__GCN__IntegratedGradients__random] DONE — acc=0.60 gt_auroc=0.4796 n=20 (capped) [cached]
2026-07-30 18:50:22,486 | INFO    | molsanity | [stage cell_SynthMotifs__GAT__IntegratedGradients__scaffold] cache hit (4ab32a49eed2eec9) — skipping
2026-07-30 18:50:22,487 | INFO    | molsanity | [cell SynthMotifs__GAT__IntegratedGradients__scaffold] DONE — acc=0.95 gt_auroc=0.5916 n=20 (capped) [cached]
2026-07-30 18:50:22,764 | INFO    | molsanity | [stage cell_SynthMotifs__GAT__IntegratedGradients__random] cache hit (a7f55c09b1626a4e) — skipping
2026-07-30 18:50:22,765 | INFO    | molsanity | [cell SynthMotifs__GAT__IntegratedGradients__random] DONE — acc=1.00 gt_auroc=0.8739999999999999 n=20 (capped) [cached]
2026-07-30 18:50:23,223 | INFO    | molsanity | [stage cell_SynthMotifs__MPNN__IntegratedGradients__scaffold] cache hit (e7603a1451efb5b1) — skipping
2026-07-30 18:50:23,223 | INFO    | molsanity | [cell SynthMotifs__MPNN__IntegratedGradients__scaffold] DONE — acc=0.65 gt_auroc=0.7116 n=20 (capped) [cached]
2026-07-30 18:50:23,668 | INFO    | molsanity | [stage cell_SynthMotifs__MPNN__IntegratedGradients__random] cache hit (d165f5b1272d72b6) — skipping
2026-07-30 18:50:23,668 | INFO    | molsanity | [cell SynthMotifs__MPNN__IntegratedGradients__random] DONE — acc=1.00 gt_auroc=0.8388 n=20 (capped) [cached]
2026-07-30 18:50:24,118 | INFO    | molsanity | [stage cell_SynthMotifs__AttentiveFP__IntegratedGradients__scaffold] cache hit (065284d0592ebfc5) — skipping
2026-07-30 18:50:24,118 | INFO    | molsanity | [cell SynthMotifs__AttentiveFP__IntegratedGradients__scaffold] DONE — acc=0.85 gt_auroc=0.8856000000000002 n=20 (capped) [cached]
2026-07-30 18:50:24,540 | INFO    | molsanity | [stage cell_SynthMotifs__AttentiveFP__IntegratedGradients__random] cache hit (85d9fc9af12620c6) — skipping
2026-07-30 18:50:24,540 | INFO    | molsanity | [cell SynthMotifs__AttentiveFP__IntegratedGradients__random] DONE — acc=1.00 gt_auroc=0.7156 n=20 (capped) [cached]
2026-07-30 18:50:24,545 | INFO    | molsanity | [stage cell_MUTAG__GINE__IntegratedGradients__scaffold] running (2f8f102a194c4ba1)
2026-07-30 18:50:24,577 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:50:24,832 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:50:25,395 | INFO    | molsanity | Loaded existing checkpoint gine_5281be77a9e8e1fc.pt
2026-07-30 18:50:40,462 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__IntegratedGradients__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:50:40,474 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__IntegratedGradients__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:50:40,525 | INFO    | molsanity | [cell MUTAG__GINE__IntegratedGradients__scaffold] DONE — acc=0.75 gt_auroc=0.5365513952278658 n=20 (capped)
2026-07-30 18:50:40,529 | INFO    | molsanity | [stage cell_MUTAG__GINE__IntegratedGradients__random] running (f70a6756ec930eef)
2026-07-30 18:50:40,558 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:50:41,075 | INFO    | molsanity | Loaded existing checkpoint gine_81524887c7adee3c.pt
2026-07-30 18:50:56,254 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__IntegratedGradients__random/gt_validation.pdf (+ .svg)
2026-07-30 18:50:56,265 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__IntegratedGradients__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:50:56,303 | INFO    | molsanity | [cell MUTAG__GINE__IntegratedGradients__random] DONE — acc=0.55 gt_auroc=0.047792942351765885 n=20 (capped)
2026-07-30 18:50:56,307 | INFO    | molsanity | [stage cell_MUTAG__GINE__Saliency__scaffold] running (1219d43dd74952fa)
2026-07-30 18:50:56,338 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:50:56,614 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:50:56,647 | INFO    | molsanity | Loaded existing checkpoint gine_5281be77a9e8e1fc.pt
